classification,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,experimentalTechnique,macromoleculeType,pdbxDetails,phValue,publicationYear,residueCount,resolution,structureId,structureMolecularWeight
COMPLEX (IMMUNOGLOBULIN/AUTOANTIGEN),"VAPOR DIFFUSION, HANGING DROP",,2.9,58,X-RAY DIFFRACTION,Protein,"CRYSTALS WERE GROWN BY HANGING DROP VAPOR DIFFUSION. THE HANGING DROPS CONSISTED OF 2UL OF PROTEIN SOLUTION CONTAINING EACH PROTEIN AT 1MG/ML IN 0.1 % SODIUM AZIDE, 20MM TRIS-HCL AT PH 7.0, MIXED WITH AN EQUAL VOLUME OF THE RESERVOIR SOLUTION TO BE SCREENED. CRYSTALS WERE OBTAINED WITH RESERVOIR SOLUTIONS CONTAINING 17.5 - 22.5 % (W/V) POLYETHYLENE GLYCOL (MEAN MW 8000) IN 0.1 % SODIUM AZIDE, 100MM TRIS-HCL, PH 7.0, AT TEMPERATURES BETWEEN 17.5 AND 21.5 (CELSIUS)., vapor diffusion - hanging drop",7,1997,644,3.15,1ADQ,70718.09
TRANSCRIPTION REGULATION,,,,,SOLUTION NMR,Protein,,,1994,76,,1ADR,8502.83
OXIDOREDUCTASE,,,2.16,42.98,X-RAY DIFFRACTION,Protein,,,1992,315,1.65,1ADS,36510.55
DNA BINDING PROTEIN,,,2.55,45,X-RAY DIFFRACTION,,,,1994,356,2.6,1ADT,40029.58
DNA BINDING PROTEIN,,,2.6,52.74,X-RAY DIFFRACTION,Protein,,,1996,712,3,1ADU,80061.12
DNA BINDING PROTEIN,,,2.58,52.29,X-RAY DIFFRACTION,Protein,,,1996,712,3.2,1ADV,80061.12
ELECTRON TRANSPORT,,,3.3,56,X-RAY DIFFRACTION,Protein,3.2 M AMMONIUM SULFATE 50MM POTASSIUM PHOSPHATE PH 7.0,7,1995,246,2.5,1ADW,26843.55
BLOOD COAGULATION,,,,,SOLUTION NMR,Protein,,,1997,40,,1ADX,4377.75
TRNA SYNTHETASE,,,2.4,48.83,X-RAY DIFFRACTION,Protein,pH 7.,7,1997,1684,2.8,1ADY,190825.38
HYDROLASE,,,,,SOLUTION NMR,Protein,,,1997,71,,1ADZ,8379.24
OXIDOREDUCTASE,,,2.18,45,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1998,546,2.4,1AE1,60782.64
DNA BINDING PROTEIN,VAPOR DIFFUSION,,2.2,44,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM SOLUTIONS CONTAINING 10MG/ML PROTEIN, 4 MM TRIS BUFFER (PH7.5), AND 16% PEG 4000 (W/V), EQUILIBRATED AGAINST 12% PEG4000 BY VAPOR DIFFUSION AT ROOM TEMPERATURE., vapor diffusion",7.5,1997,87,2,1AE2,9743.25
DNA BINDING PROTEIN,,,2.2,44,X-RAY DIFFRACTION,Protein,"R82C GVP WAS CRYSTALLIZED FROM SOLUTIONS CONTAINING 10 MG/ML PROTEIN, 35 MM TRIS (PH7.0), AND 4.7% PEG 4000 (W/V), EQUILIBRATED AGAINST 6% PEG 4000.",7,1997,86,2,1AE3,9515.98
OXIDOREDUCTASE,,,2.24,43,X-RAY DIFFRACTION,Protein,"BUFFERED AMMONIUM SULFATE SOLUTION, PH 8.9",8.9,1997,325,2.4,1AE4,37684.64
SERINE PROTEASE HOMOLOG,,,2.3,46,X-RAY DIFFRACTION,Protein,pH 7.2,7.2,1997,225,2.3,1AE5,24744.89
IMMUNOGLOBULIN,,,2.26,37.5,X-RAY DIFFRACTION,Protein,"20-25% PEG4000, BUFFERED AT PH 5.6 WITH 20MM BIS-TRIS.",5.6,1997,437,3,1AE6,47664.26
HYDROLASE,,,2.89,57.44,X-RAY DIFFRACTION,Protein,CRYSTALS WERE OBTAINED WHEN A PROTEIN SOLUTION WITH HALF OF THE PRECIPITANT CONCENTRATION OF THE WELL WAS EQUILIBRATED AGAINST 1.4M AMMONIUM SULFATE BUFFERED WITH 50MM CHES-BUFFER AT PH 7.8 WITH 2% DIOXANE PRESENT,7.8,1992,119,2,1AE7,13900.68
HYDROLASE/HYDROLASE INHIBITOR,,277,2.66,53.69,X-RAY DIFFRACTION,Protein,"PEG 4000 15%, PH 7.0, 5X10-3 M AZALYS-DERIVATIVE, 277 K.",7,1997,305,2,1AE8,35880.88
DNA RECOMBINATION,,,2.5,50,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 20% PEG 8000 75 MM NACL 7 MM MGCL2 50 MM MES, PH 6.15 40 MM NACITRATE 1 MM DTT 1 MM SPERMINE",6.15,1997,358,1.9,1AE9,40526.31
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 3-METHYLTHIAZOLIUM IODIDE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEB,34175.89
HYDROLASE,,,2.24,45.13,X-RAY DIFFRACTION,Protein,,,1992,218,1.86,1AEC,23930.4
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 3,4-DIMETHYLTHIAZOLIUM IODIDE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AED,34189.92
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM ANILINE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEE,34168.86
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 3-AMINOPYRIDINE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEF,34170.85
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 4-AMINOPYRIDINE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEG,34170.85
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 2-AMINO-4-METHYLTHIAZOLE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEH,34189.9
CALCIUM/PHOSPHOLIPID-BINDING,,,3.03,59.4,X-RAY DIFFRACTION,Protein,"7 MG/ML ANX12, 65 W/V PEG 6000, 10 MM CACL2, PH 7.8",7.8,1995,1890,2.8,1AEI,211108.7
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 1-VINYLIMIDAZOLE, 5MM ETHANOL, IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEJ,34170.85
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM INDOLINE, 10MM ETHANOL, IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEK,34194.89
LIPID BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1997,131,,1AEL,15015.01
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM IMIDAZO[1,2-A]PYRIDINE, 10MM ETHANOL, IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEM,34194.87
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 3,4,5-TRIMETHYLTHIAZOLE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEN,34190.91
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 2-AMINOPYRIDINE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEO,34170.85
LIPOPROTEIN,,,2.97,58.57,X-RAY DIFFRACTION,Protein,,,1991,161,2.7,1AEP,17227.84
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 2-ETHYLIMIDAZOLE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,2002,294,2.1,1AEQ,34171.86
ADP-RIBOSYLATION,,,2.8,50.2,X-RAY DIFFRACTION,Protein,,,1996,422,2.3,1AER,47096.13
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM IMIDAZOLE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,1996,294,2.1,1AES,34144.81
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 1-METHYLIMIDAZOLE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,1996,294,2.1,1AET,34158.84
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 2-METHYLIMIDAZOLE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,1996,294,2.1,1AEU,34157.83
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 2-AMINOTHIAZOLE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,1997,294,2.1,1AEV,34175.87
IRON STORAGE,"VAPOR DIFFUSION, SITTING DROP",,3.27,62.36,X-RAY DIFFRACTION,Protein,"CRYSTALLIZED BY SITTING DROP: 15 LAMBDA PROTEIN + 1-2 LAMBDA 2% CDSO4, pH 7.0, vapor diffusion - sitting drop",7,1997,174,1.95,1AEW,20530.85
NUCLEASE,,,2.22,44.48,X-RAY DIFFRACTION,Protein,"10 MM POTASSIUM PHOSPHATE, PH = 8.15, PROTEIN CONC. = 2 MGS/ML, MPD = 21%, T = 4 C",8.15,1996,149,2.1,1AEX,17335.7
CYTOSKELETON,,,,,SOLUTION NMR,Protein,,,1997,62,,1AEY,7229.24
HYDROLASE/HYDROLASE INHIBITOR,,,3.53,62,X-RAY DIFFRACTION,Protein,"0.2 M AMMONIUM SULFATE, 20%PEG 4K, PH 6.5",6.5,,471,1.8,1AF0,51110.51
DNA,,,,,SOLUTION NMR,DNA,,,1996,22,,1AF1,6829.53
COMPLEX (HYDROLASE/PRODUCT),,,5.19,76.29,X-RAY DIFFRACTION,Protein,pH 6.2,6.2,1997,294,2.3,1AF2,31959.38
REGULATORY PROTEIN,,,2.62,53,X-RAY DIFFRACTION,Protein,pH 5.6,5.6,1997,196,2.5,1AF3,22082.25
SERINE PROTEASE,,,2.1,42,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 13% SODIUM SULFATE, 30 MM CACODYLATE, PH 5.6; THEN CROSS-LINKED WITH 10% GLUTARALDEHYDE IN 13% SODIUM SULFATE, 30 MM CACODYLATE, PH 7.5, WASHED WITH DISTILLED WATER, AND TRANSFERRED TO ANHYDROUS DIOXANE.",5.6,1997,274,2.6,1AF4,27963.01
ENDONUCLEASE,,,3.82,68,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 23% PEG 6000, 0.1M CITRATE,PH 5.0",5,1997,135,3,1AF5,15551.93
MEMBRANE PROTEIN,,,,75,X-RAY DIFFRACTION,Protein,pH 7.,7,1997,1263,2.4,1AF6,143455.52
METHYLTRANSFERASE,,,2.4,40,X-RAY DIFFRACTION,Protein,"MICROSEEDING; 1.2 M AMMONIUM SULFATE, 2% PEG 400, 25 MM SODIUM CITRATE PH 5.6. PRIOR TO DATA COLLECTION CRYSTAL WAS SOAKED IN THE SAME SOLUTION WITH PH ADJUSTED TO 7.0.",5.6,1997,274,2,1AF7,31917.45
ANTIBIOTIC BIOSYNTHESIS,,,,,SOLUTION NMR,Protein,,,1997,86,,1AF8,9255.24
CLOSTRIDIAL NEUROTOXIN,,,2.45,47,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION DROP CONTAINED 3 PARTS RESERVOIR SOLUTION AND 1 PART PROTEIN SOLUTION. RESERVOIR: 14%- 18% PEG 4000, 0.1M IMIDAZOLE, 0.05M MGCL2 AT PH 6.5. PROTEIN SOLUTION: 10MG/ML PROTEIN AND 0.01M TRIS-HCL AT PH 7.8.",6.5,1997,452,2.7,1AF9,51826.43
LECTIN,,,3.15,60.99,X-RAY DIFFRACTION,Protein,pH 8.0,8,1996,462,2,1AFA,52090.04
LECTIN,,,3.14,60.87,X-RAY DIFFRACTION,Protein,pH 8.0,8,1996,462,1.9,1AFB,52171.12
GROWTH FACTOR,,,2.39,48.61,X-RAY DIFFRACTION,Protein,,,1993,1120,2.7,1AFC,134830.47
LECTIN,,,3.15,60.93,X-RAY DIFFRACTION,Protein,pH 8.0,8,1996,462,2,1AFD,51467.41
HYDROLASE/HYDROLASE INHIBITOR,,,2.62,53.11,X-RAY DIFFRACTION,Protein,"PEG 4000 15%, PH 7.0, 5X10-3 M AZALYS COMPOUND",7,1997,305,2,1AFE,35795.77
DNA,,,,,SOLUTION NMR,DNA,,,1997,16,,1AFF,4923.42
GROWTH FACTOR,,,2.09,41.16,X-RAY DIFFRACTION,,,,,0,2,1AFG,58532.9
LIPID BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1996,93,,1AFH,9062.16
MERCURY DETOXIFICATION,,,,,SOLUTION NMR,Protein,,,1997,72,,1AFI,7483.63
MERCURY DETOXIFICATION,,,,,SOLUTION NMR,Protein,,,1997,72,,1AFJ,7684.22
HYDROLASE,,289,2.2,48,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 20% PEG 4000, 20 MM SODIUM CITRATE, PH 5.5 AND THEN SOAKED WITH 1MM 5' DIPHOSPHOADENOSINE 3'-PHOSPHATE FOR 2.5 HRS AT 16 C, temperature 289K",5.5,1997,248,1.7,1AFK,28431.01
HYDROLASE,,289,2.2,48,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 10% PEG 4000, 10 MM SODIUM CITRATE, PH 5.5 AND THEN SOAKED WITH 10 MM 5-DIPHOSPHOADENOSINE 2'- PHOSPHATE FOR 3 HRS AT 16 C, temperature 289K",5.5,1997,248,1.7,1AFL,28815.26
OXIDOREDUCTASE(NITRIC OXIDE(A)),,,2.26,45.51,X-RAY DIFFRACTION,,,,,0,2.6,1AFN,107764.61
INTEGRAL MEMBRANE PROTEIN,,,,,SOLUTION NMR,Protein,,,1997,80,,1AFO,8908.83
ANTIFUNGAL PROTEIN,,,,,SOLUTION NMR,Protein,,,1995,51,,1AFP,5818.88
HYDROLASE/HYDROLASE INHIBITOR,,293,2.29,46.18,X-RAY DIFFRACTION,Protein,"GAMMA-CHYMOTRYPSIN CRYSTALS WERE SOAKED INTO A SOLUTION CONTAINING SATURATED INHIBITOR, 65% SATURATED AMMONIUM SULFATE AND 100 MM HEPES BUFFER (PH7.5) AT 293K FOR A MONTH.",7.5,1998,240,1.8,1AFQ,26058.5
OXIDOREDUCTASE,,,2.52,57,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1996,2070,2.4,1AFR,239194.58
OXIDOREDUCTASE,,,2.49,50.66,X-RAY DIFFRACTION,Protein,pH 6.4,6.4,1997,646,2.5,1AFS,76448.95
RIBONUCLEOTIDE REDUCTASE,,,,,SOLUTION NMR,Protein,,,1995,8,,1AFT,853.92
HYDROLASE,,,2.2,48,X-RAY DIFFRACTION,Protein,PROTEIN WAS CRYSTALLIZED FROM 20 MM SODIUM CITRATE BUFFER PH 5.5 AND 20 % PEG 4000.,5.5,1997,248,2,1AFU,27416.65
Viral protein/Immune system,,,2.9,57,X-RAY DIFFRACTION,Protein,"16% PEG 3350, 50 MM BISTRIS-HCL, PH 7.0, 0.1% BETA-OCTYLGLUCOSIDE, 1 MM NAN3",7,1996,1176,3.7,1AFV,128732.14
THIOLASE,microdiaylsis,293,2.3,43,X-RAY DIFFRACTION,Protein,"MICRODIALYSIS AGAINST 25MM MOPS PH6.5, 200MM DTT, 1MM EDTA, 1MM SODIUM AZIDE, AT 20 DEGREES CELSIUS, microdiaylsis, temperature 293K",6.5,1997,786,1.8,1AFW,84388.52
RNA,,,,,SOLUTION NMR,RNA,,,1999,12,,1AFX,3851.36
DNA,,,,,SOLUTION NMR,DNA,,,1996,22,,1AFZ,6709.38
ELECTRON TRANSPORT,,,2.34,47.48,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,,258,2.4,1AG0,28343.83
ISOMERASE(INTRAMOLECULAR OXIDOREDUCTASE),,,2.39,48.59,X-RAY DIFFRACTION,Protein,"2.4 M AMMONIUM SULFATE IN 0.2 MOPS BUFFER, PH 7.0 FOLLOWED BY TRANSFER TO 44% PEG-6000 CONTAINING 15 MM PHOSPHATE",7,1991,500,2.36,1AG1,53826.64
PRION PROTEIN,,,,,SOLUTION NMR,Protein,,,1996,103,,1AG2,12348.75
DNA,,,,,SOLUTION NMR,DNA,,,1995,24,,1AG3,7366.85
STRUCTURAL PROTEIN,,,,,SOLUTION NMR,Protein,,,1997,103,,1AG4,11296.6
DNA,,,,,SOLUTION NMR,DNA,,,1995,21,,1AG5,6732.5
ELECTRON TRANSPORT,,,2.57,52.19,X-RAY DIFFRACTION,Protein,pH 4.4,4.4,1998,99,1.6,1AG6,10542.14
NEUROTOXIN,,,,,SOLUTION NMR,Protein,,,1997,34,,1AG7,3630.15
OXIDOREDUCTASE,,,2.53,49,X-RAY DIFFRACTION,Protein,"14% PEG 8000, 100 MM MES, PH 6.5, 0.2 MM MGCL2, 1MM NAD; THEN SOAKED IN SAME SOLUTION WITHOUT NAD OR MGCL2 FOR 1 WEEK.",6.5,1997,1996,2.65,1AG8,217978.86
ELECTRON TRANSPORT,,295,2.2,44.1,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED BY MICROSEEDING IN 40% MPD, 100 MM CACL2, 20 MM BIS-TRIS, 10 MM IMIDAZOLE, PH 7.0, 295 K.",7,1997,350,1.8,1AG9,40901.7
TEXTURE OF CONNECTIVE TISSUE,,,,,FIBER DIFFRACTION,,,,1974,0,3,1AGA,2053.78
HISTOCOMPATIBILITY COMPLEX,,,2.6,52.7,X-RAY DIFFRACTION,Protein,"30% PEG 4000 0.1M SODIUM CITRATE, PH 6.5 0.2M AMMONIUM ACETATE",6.5,1996,383,2.2,1AGB,44629.32
HISTOCOMPATIBILITY COMPLEX,,,2.49,50.69,X-RAY DIFFRACTION,Protein,"30% PEG 4000 0.1M SODIUM CITRATE, PH 6.5 0.03M AMMONIUM ACETATE",6.5,1996,383,2.1,1AGC,44600.26
HISTOCOMPATIBILITY COMPLEX,,,2.55,51.85,X-RAY DIFFRACTION,Protein,"30% PEG 4000 0.1M SODIUM CITRATE, PH 6.5 0.2M AMMONIUM ACETATE",6.5,1996,383,2.05,1AGD,44601.31
HISTOCOMPATIBILITY COMPLEX,,,2.55,51.75,X-RAY DIFFRACTION,Protein,"30% PEG 4000 0.1M SODIUM CITRATE, PH 6.5 0.03M AMMONIUM ACETATE",6.5,1996,383,2.3,1AGE,44629.32
HISTOCOMPATIBILITY COMPLEX,,,2.54,51.5,X-RAY DIFFRACTION,Protein,"30% PEG 4000 0.1M SODIUM CITRATE, PH 6.5 0.03M AMMONIUM ACETATE",6.5,1996,383,2.2,1AGF,44629.32
NEUROTOXIN,,,,,SOLUTION NMR,Protein,,,1995,48,,1AGG,5287.13
DNA,,,,,SOLUTION NMR,DNA,,,1995,22,,1AGH,6707.41
ENDONUCLEASE,,,2.13,42.38,X-RAY DIFFRACTION,Protein,,,1995,125,1.5,1AGI,14621.51
HYDROLASE,,,2.46,43,X-RAY DIFFRACTION,Protein,"PEG 4000 18%, DMSO 1%, pH 7.0",7,1997,484,1.7,1AGJ,53970.22
DNA,,,,,SOLUTION NMR,DNA,,,1995,22,,1AGK,6827.56
DNA,"VAPOR DIFFUSION, SITTING DROP",,2.84,56.74,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, SITTING DROP",6.5,1997,6,2.2,1AGL,2968.41
HYDROLASE,,,2.9,57.64,X-RAY DIFFRACTION,Protein,,,1994,470,2.3,1AGM,56049.73
OXIDOREDUCTASE,,,3.06,59.5,X-RAY DIFFRACTION,Protein,,,1997,1492,3,1AGN,163988.09
DNA,,,,,SOLUTION NMR,DNA,,,1996,22,,1AGO,6827.56
ONCOGENE PROTEIN,,,1.97,37.47,X-RAY DIFFRACTION,Protein,,,1993,166,2.3,1AGP,19479.73
GROWTH FACTOR,,,2.4,42,X-RAY DIFFRACTION,Protein,"20% PEG 6000, 0.8 M LICL, PH 7.0",7,1997,540,1.9,1AGQ,60361.02
COMPLEX (SIGNAL TRANSDUCTION/REGULATOR),"VAPOR DIFFUSION, HANGING DROP",,3.4,63,X-RAY DIFFRACTION,Protein,"THE COMPLEX WAS CRYSTALLIZED IN HANGING DROPS USING PEG 10000 AS THE PRECIPITANT AND SODIUM CITRATE PH 5.3 AS THE BUFFER., vapor diffusion - hanging drop",5.3,1997,1116,2.8,1AGR,128634.27
TRANSFERASE (GLUTATHIONE),,,2.59,52.55,X-RAY DIFFRACTION,Protein,,,1994,442,2.5,1AGS,52159.02
NEUROTOXIN,,,,,SOLUTION NMR,Protein,,,1995,38,,1AGT,4104.98
DNA,,,,,SOLUTION NMR,DNA,,,1996,22,,1AGU,7009.73
PROTEIN KINASE,,,2.68,54,X-RAY DIFFRACTION,Protein,"16% PEG 10000, 0.3 M (NH4)2SO4, 100 MM BIS-TRIS, PH 6.5, 5% ETHYLENE GLYCOL",6.5,1997,620,2.4,1AGW,71288.02
BACTERIAL AMIDOHYDROLASE,,,2.72,54.81,X-RAY DIFFRACTION,Protein,,,1994,331,2.9,1AGX,35523.35
SERINE ESTERASE,,,1.98,38,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 15 - 20% PEG 6000, 0.1 M HEPES, PH 7.0",7,1997,200,1.15,1AGY,20828.4
DNA,,,,,SOLUTION NMR,DNA,,,1995,22,,1AGZ,6827.56
OXIDOREDUCTASE,,,2.6,51,X-RAY DIFFRACTION,Protein,"6 MG/ML AR, 2.5% PEG 6000, 25 MM MES PH 6.2 (DROP), 20% PEG 6000, 25 MM MES PH 6.2 (RESERVOIR)",6.2,1997,316,2.3,1AH0,36787.64
IMMUNORECEPTOR,,,,,SOLUTION NMR,Protein,,,1997,129,,1AH1,45333.82
SERINE PROTEASE,,,,,SOLUTION NMR,Protein,,,1997,269,,1AH2,26745.41
OXIDOREDUCTASE,,,2.6,51,X-RAY DIFFRACTION,Protein,"6 MG/ML AR, 2.5% PEG 6000,25 MM MESPH 6.2 (DROP),20% PEG 6000,25 MM MESPH 6.2 (RESERVOIR)",6.2,1997,315,2.3,1AH3,36924.79
OXIDOREDUCTASE,,,2.6,51,X-RAY DIFFRACTION,Protein,"6 MG/ML AR, 2.5% PEG 6000,25 MM MESPH 6.2 (DROP),20% PEG 6000,25 MM MESPH 6.2 (RESERVOIR)",6.2,1997,315,2,1AH4,36567.44
TRANSFERASE,"VAPOR DIFFUSION, SITTING DROP",,2.51,50,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLISED AT PH 5.3 IN SITTING DROPS OF 0.05ML WITH 6-7MG/ML OF PROTEIN, 0.3MM EDTA, 15MM DITHIOTHREITOL, 10%(W/V) PEG6000 AND 0.01% NAN3 IN 0.1M NAAC., vapor diffusion - sitting drop",5.3,1999,313,2.4,1AH5,34546.7
CHAPERONE,under oil,,2.82,60,X-RAY DIFFRACTION,Protein,"THE PROTEIN WAS CRYSTALLISED UNDER OIL IN TERASAKI PLATES. THE DROPS CONTAINED 27MG/ML PROTEIN, 9.75% PEGME 550, 65MM AMMONIUM SULFATE, 25% GLYCEROL AND 32.5 MM NASUCCINATE AT PH 5.0, under oil",5,1997,220,1.8,1AH6,24873.4
HYDROLASE,VAPOR DIFFUSION,,2.62,52.7,X-RAY DIFFRACTION,Protein,"VAPOR PHASE DIFFUSION FROM SOLUTION OF 5MG/ML PLC IN 35% SATURATED AMMONIUM SULFATE, pH 7, vapor diffusion",7,1989,245,1.5,1AH7,28619.65
CHAPERONE,under oil,,2.93,58,X-RAY DIFFRACTION,Protein,"THE PROTEIN WAS CRYSTALLISED UNDER OIL IN TERASAKI PLATES. THE DROPS CONTAINED 20.5MG ML PROTEIN, 9% PEGME 550, 60MM CALCIUM CHLORIDE, 25% GLYCEROL AND 30MM SODIUM ACETATE PH 5.0, under oil",5,1997,440,2.1,1AH8,50115.17
RIBOSOME BINDING,,,,,SOLUTION NMR,Protein,,,1997,71,,1AH9,8131.39
GLYCOSIDASE,,,2.33,47.25,X-RAY DIFFRACTION,Protein,,,1994,246,2.2,1AHA,27531.41
GLYCOSIDASE,,,3.02,59.26,X-RAY DIFFRACTION,Protein,,,1994,246,2.2,1AHB,27743.51
GLYCOSIDASE,,,2.43,49.45,X-RAY DIFFRACTION,Protein,,,1994,246,2,1AHC,27396.29
DNA BINDING PROTEIN/DNA,,,,,SOLUTION NMR,Protein#DNA,,,1993,96,,1AHD,17220.7
TRANSFERASE (AMINOTRANSFERASE),,,2.96,58.49,X-RAY DIFFRACTION,Protein,,,1995,792,2.3,1AHE,87960.99
TRANSFERASE (AMINOTRANSFERASE),,,3.03,59.46,X-RAY DIFFRACTION,Protein,,,1995,792,2.3,1AHF,88054.14
TRANSFERASE (AMINOTRANSFERASE),,,3.03,59.46,X-RAY DIFFRACTION,Protein,,,1995,796,2.5,1AHG,88095.22
OXIDOREDUCTASE,,,3.34,60,X-RAY DIFFRACTION,Protein,pH 8.5,8.5,1996,510,2.3,1AHH,54929.9
OXIDOREDUCTASE,,,3.33,62,X-RAY DIFFRACTION,Protein,pH 8.5,8.5,1996,510,2.3,1AHI,55833.18
LYASE,,,2.8,53,X-RAY DIFFRACTION,Protein,pH 8.5,8.5,1997,1676,2.65,1AHJ,186248.66
ALLERGEN,,,,,SOLUTION NMR,Protein,,,1998,129,,1AHK,14064.19
NEUROTOXIN,,,,,SOLUTION NMR,Protein,,,1995,49,,1AHL,5142.81
ALLERGEN,,,,,SOLUTION NMR,Protein,,,1998,129,,1AHM,14064.19
